,companys,skills,pub_date
0,SEVENCONSULTANCY,"rest,python,storage",1 day ago
1,HanDigitalSolution(P)Ltd.,"python,github,sql,nosql,django,api",1 day ago
2,SEVENCONSULTANCY,"rest,python,webdeveloper,storage,softwaredeveloper",1 day ago
3,SEVENCONSULTANCY,"rest,python,oracle,sybase,bi,storage,javascript,nosql,sql,pythonscripting,java,xml,linux,mysql,unix",1 day ago
4,virtusaconsultingservicespvt.ltd.,"python,aws,flask,mysql,splunk,restapi,nosql,iam",today
5,HanDigitalSolution(P)Ltd.,"rest,python,rdbms,tornado,nosql,django,xml,api,mongodb",1 day ago
6,magnarustechnologiesprivatelimited,"imageprocessing,python,c,cprogramming,operatingsystem,teamplayer,database,mysql,unix",1 day ago
7,InfocomSoftware,"rest,python,css,html5,machinelearning,artificialintelligence,javascript,jquery,security,django,debugging",1 day ago
8,virtusaconsultingservicespvt.ltd.,"pythondevelopment,frameworkproficiency,applicationmigration,databasemanagement,cloudtechnologies,jobposting",1 day ago
9,eastindiasecuritiesltd.,"python,hadoop,machinelearning",a month ago
10,virtusaconsultingservicespvt.ltd.,"webdevelopment,pythonprogramming,frontendframeworks,backendframeworks,devopsenvironment,css,databasemanagement,security,git,postgresql,debugging,html,mysql,mongodb,javascript,productionsupport,django",today
11,SEVENCONSULTANCY,"python,mvc,sql",a month ago
12,eastindiasecuritiesltd.,"python,hadoop,machinelearning",a month ago
13,zengatv,"python,django,html5,javascript",a month ago
14,DatagridSolutions,"python,database,django,mysql,api",a month ago
15,SEVENCONSULTANCY,"python,mvc,sql",a month ago
16,InfostretchSolutionPvtLtd,"pythondevelopment,clouddeployment,datastructures,devopsculture,unittesting,apache,java,softwareengineering,api,mq,nosql,messaging,fundamentals,storage,database,pythonscripting,git,mongodb,cloudservices,mobile,infrastructure",few days ago
17,LAKSHHUMANRESOURCE,"rest,python,django,git",a month ago
18,AdvaiyaSolutionsPvtLtd,"pythondevelopment,djangoframework,restapis,unittesting,designpatterns,docker,database,debugging,webdevelopment,mysql",few days ago
19,zengatv,"python,django,html5,javascript",a month ago
